1161,48860,35026,1,396,0,경상남도,산청군,삼장면,대포리,396,전,1147,보전관리지역,,전,산간 농경지대,완경사지,부정형,맹지,5150,황점마을,남동측인근
1162,48860,35026,1,450,0,경상남도,산청군,삼장면,대포리,450,대,195,보전관리지역,,단독주택,순수 농촌지대,평지,부정형,세로(불),32000,황점마을내,
1163,48860,35026,1,469,0,경상남도,산청군,삼장면,대포리,469,전,301,보전관리지역,,전,마을주변 농경지대,완경사지,부정형,세로(가),5400,황점마을,북서측인근
1164,48860,35026,1,530,0,경상남도,산청군,삼장면,대포리,530,답,2182,보전관리지역,,답,마을주변 농경지대,평지,부정형,맹지,21500,황점마을,북측인근
1165,48860,35026,1,539,8,경상남도,산청군,삼장면,대포리,539-8,대,840,농림지역,,단독주택,순수 농촌지대,평지,사다리형,세로(가),131000,금포정마을내,
1166,48860,35026,1,546,0,경상남도,산청군,삼장면,대포리,546,대,719,계획관리지역,,단독주택,순수 농촌지대,평지,부정형,세로(가),131000,금포정마을내,
1167,48860,35026,1,548,13,경상남도,산청군,삼장면,대포리,548-13,답,337,계획관리지역,,답,마을주변 농경지대,평지,부정형,맹지,68500,금포정교,서측인근
1168,48860,35026,2,12,0,경상남도,산청군,삼장면,대포리,산12,임야,18446,보전관리지역,,조림,마을주변 산림지대,급경사지,부정형,세로(불),1300,삼장면사무소,북동측인근
1169,48860,35026,2,57,0,경상남도,산청군,삼장면,대포리,산57,임야,20628,보전관리지역,,조림,마을주변 산림지대,완경사지,부정형,세로(불),940,대포마을,북서측인근
1170,48860,35026,2,82,6,경상남도,산청군,삼장면,대포리,산82-6,임야,7183,보전관리지역,,조림,마을주변 산림지대,급경사지,부정형,세로(가),1000,황점마을,북서측인근
1171,48860,35026,2,134,0,경상남도,산청군,삼장면,대포리,산134,임야,9521,자연환경보전지역,,자연림,공원 산림지대,급경사지,부정형,맹지,260,내원사,서측인근
1172,48860,35026,2,165,0,경상남도,산청군,삼장면,대포리,산165,임야,24793,자연환경보전지역,,자연림,공원 산림지대,급경사지,부정형,세로(불),240,내원사,북서측원거리
1173,48860,35027,1,10,3,경상남도,산청군,삼장면,내원리,10월 03일,전,836,계획관리지역,,전,산간 농경지대,완경사지,부정형,세로(가),41500,바깥내원마을 ,북측인근 
1174,48860,35027,1,49,0,경상남도,산청군,삼장면,내원리,49,답,1709,자연환경보전지역,,전,산간 농경지대,완경사지,부정형,맹지,8500,바깥내원마을,북서측근거리
1175,48860,35027,1,66,1,경상남도,산청군,삼장면,내원리,Jan-66,전,252,계획관리지역,,전,산간 농경지대,완경사지,부정형,세로(가),54500,배양이마을내,
1176,48860,35027,1,70,0,경상남도,산청군,삼장면,내원리,70,대,688,계획관리지역,,단독주택,산간 농촌지대,완경사지,부정형,세로(가),82000,배양이마을내,
